is_id_desc,flank_id,s_start_x,s_end_x,flank,subject_id,query_id,q_start,q_end,s_start_y,s_end_y,alignment_length,evalue,IS_strand,is_match_length,is_ins_pos
0,0_r,476814,480004,r,L01_Anc_m1,0_r,1,3190,476830,480020,3191,0.0,False,3090,476930
0,0_f,480103,476913,f,L01_Anc_m1,0_f,1,3190,480119,476929,3191,0.0,False,3090,480019
1,1_r,552417,555608,r,L01_Anc_m1,1_r,1,98,552433,552530,98,3.27e-44,False,-2,552533
1,1_f,555707,552516,f,L01_Anc_m1,1_f,1,99,560670,560572,99,9.37e-45,False,-1,560570
2,2_r,706410,709600,r,L01_Anc_m1,2_r,1,98,711372,711469,98,3.27e-44,False,-2,711472
2,2_f,709699,706509,f,L01_Anc_m1,2_f,1,99,711560,711462,99,9.37e-45,False,-1,711460
3,3_f,1185881,1190642,f,L01_Anc_m1,3_f,1,4761,1187742,1192502,4770,0.0,True,4661,1187842
3,3_r,1190741,1185980,r,L01_Anc_m1,3_r,1,99,1205466,1205564,99,1.4e-44,False,-1,1205566
4,4_r,1203609,1206800,r,L01_Anc_m1,4_r,1,3191,1192599,1189410,3191,0.0,True,3091,1192499
4,4_f,1206899,1203708,f,L01_Anc_m1,4_f,1,99,1205654,1205556,99,9.37e-45,False,-1,1205554
5,5_f,1406279,1409469,f,L01_Anc_m1,5_f,1,3190,1405025,1408215,3191,0.0,True,3090,1405125
5,5_r,1409568,1406378,r,L01_Anc_m1,5_r,1,3190,1408314,1405124,3191,0.0,True,3090,1408214
6,6_r,1500377,1505137,r,L01_Anc_m1,6_r,1,4760,1499132,1503892,4761,0.0,False,4660,1499232
6,6_f,1505236,1500476,f,L01_Anc_m1,6_f,1,4760,1503991,1499231,4761,0.0,False,4660,1503891
7,7_r,1676714,1679905,r,L01_Anc_m1,7_r,1,98,1675474,1675571,98,3.27e-44,False,-2,1675574
7,7_f,1680004,1676813,f,L01_Anc_m1,7_f,1,99,1675661,1675563,99,9.37e-45,False,-1,1675561
8,8_f,1957218,1960409,f,L01_Anc_m1,8_f,1,98,1952872,1952969,98,3.27e-44,True,-2,1952972
8,8_r,1960508,1957317,r,L01_Anc_m1,8_r,1,99,1953059,1952961,99,9.37e-45,True,-1,1952959
9,9_f,1993797,1996989,f,L01_Anc_m1,9_f,1,1669,1986350,1988017,1669,0.0,True,1569,1986450
9,9_r,1997088,1993896,r,L01_Anc_m1,9_r,1,99,1953059,1952961,99,9.37e-45,True,-1,1952959
10,10_f,2030378,2035139,f,L01_Anc_m1,10_f,1,4761,1986350,1991110,4761,0.0,True,4661,1986450
10,10_r,2035238,2030477,r,L01_Anc_m1,10_r,1,4761,1991209,1986449,4761,0.0,True,4661,1991109
11,11_r,2350414,2355175,r,L01_Anc_m1,11_r,1,4761,2306388,2311148,4762,0.0,False,4661,2306488
11,11_f,2355274,2350513,f,L01_Anc_m1,11_f,1,4761,2311247,2306487,4762,0.0,False,4661,2311147
12,12_f,2705259,2708449,f,L01_Anc_m1,12_f,1,98,2661233,2661330,98,3.27e-44,True,-2,2661333
12,12_r,2708548,2705358,r,L01_Anc_m1,12_r,1,99,2665637,2665539,99,9.37e-45,True,-1,2665537
13,13_r,3416450,3419640,r,L01_Anc_m1,13_r,1,3190,3373547,3376737,3191,0.0,False,3090,3373647
13,13_f,3419739,3416549,f,L01_Anc_m1,13_f,1,3190,3376836,3373646,3191,0.0,False,3090,3376736
14,14_f,3747406,3752167,f,L01_Anc_m1,14_f,1,98,3704509,3704606,98,4.89e-44,True,-2,3704609
14,14_r,3752266,3747505,r,L01_Anc_m1,14_r,1,100,3704696,3704597,100,4.01e-45,True,0,3704596
15,15_f,3914000,3917190,f,L01_Anc_m1,15_f,1,3190,3866432,3869621,3191,0.0,True,3090,3866532
15,15_r,3917289,3914099,r,L01_Anc_m1,15_r,1,3190,3869720,3866531,3191,0.0,True,3090,3869620
16,16_f,4011561,4016322,f,L01_Anc_m1,16_f,1,4761,3963996,3968754,4761,0.0,True,4661,3964096
16,16_r,4016421,4011660,r,L01_Anc_m1,16_r,1,4761,3968853,3964095,4761,0.0,True,4661,3968753
