is_id_desc,flank_id,s_start_x,s_end_x,flank,subject_id,query_id,q_start,q_end,s_start_y,s_end_y,alignment_length,evalue,IS_strand,is_match_length,is_ins_pos
0,0_r,476806,479996,r,L01_Anc_m1,0_r,1,3190,476830,480020,3191,0.0,False,3090,476930
0,0_f,480095,476905,f,L01_Anc_m1,0_f,1,3190,480119,476929,3191,0.0,False,3090,480019
1,1_r,552408,555599,r,L01_Anc_m1,1_r,1,98,552433,552530,98,3.27e-44,False,-2,552533
1,1_f,555698,552507,f,L01_Anc_m1,1_f,1,99,560670,560572,99,9.37e-45,False,-1,560570
2,2_r,706400,709590,r,L01_Anc_m1,2_r,1,98,711372,711469,98,3.27e-44,False,-2,711472
2,2_f,709689,706499,f,L01_Anc_m1,2_f,1,99,711560,711462,99,9.37e-45,False,-1,711460
3,3_f,1185864,1190625,f,L01_Anc_m1,3_f,1,4761,1187742,1192502,4770,0.0,True,4661,1187842
3,3_r,1190724,1185963,r,L01_Anc_m1,3_r,1,99,1205466,1205564,99,1.4e-44,False,-1,1205566
4,4_r,1203592,1206783,r,L01_Anc_m1,4_r,1,3191,1192599,1189410,3191,0.0,True,3091,1192499
4,4_f,1206882,1203691,f,L01_Anc_m1,4_f,1,99,1205654,1205556,99,9.37e-45,False,-1,1205554
5,5_f,1406255,1409445,f,L01_Anc_m1,5_f,1,3190,1405025,1408215,3191,0.0,True,3090,1405125
5,5_r,1409544,1406354,r,L01_Anc_m1,5_r,1,3190,1408314,1405124,3191,0.0,True,3090,1408214
6,6_r,1500353,1505113,r,L01_Anc_m1,6_r,1,4760,1499132,1503892,4761,0.0,False,4660,1499232
6,6_f,1505212,1500452,f,L01_Anc_m1,6_f,1,4760,1503991,1499231,4761,0.0,False,4660,1503891
7,7_r,1676687,1679878,r,L01_Anc_m1,7_r,1,98,1675474,1675571,98,3.27e-44,False,-2,1675574
7,7_f,1679977,1676786,f,L01_Anc_m1,7_f,1,99,1675661,1675563,99,9.37e-45,False,-1,1675561
8,8_f,1957185,1960376,f,L01_Anc_m1,8_f,1,98,1952872,1952969,98,3.27e-44,True,-2,1952972
8,8_r,1960475,1957284,r,L01_Anc_m1,8_r,1,99,1953059,1952961,99,9.37e-45,True,-1,1952959
9,9_f,1993763,1998524,f,L01_Anc_m1,9_f,1,4761,1986350,1991110,4761,0.0,True,4661,1986450
9,9_r,1998623,1993862,r,L01_Anc_m1,9_r,1,4761,1991209,1986449,4761,0.0,True,4661,1991109
10,10_r,2313795,2318556,r,L01_Anc_m1,10_r,1,4761,2306388,2311148,4762,0.0,False,4661,2306488
10,10_f,2318655,2313894,f,L01_Anc_m1,10_f,1,4761,2311247,2306487,4762,0.0,False,4661,2311147
11,11_f,2668633,2671823,f,L01_Anc_m1,11_f,1,98,2661233,2661330,98,3.27e-44,True,-2,2661333
11,11_r,2671922,2668732,r,L01_Anc_m1,11_r,1,99,2665637,2665539,99,9.37e-45,True,-1,2665537
12,12_r,3379816,3383006,r,L01_Anc_m1,12_r,1,3190,3373547,3376737,3191,0.0,False,3090,3373647
12,12_f,3383105,3379915,f,L01_Anc_m1,12_f,1,3190,3376836,3373646,3191,0.0,False,3090,3376736
13,13_f,3710770,3715531,f,L01_Anc_m1,13_f,1,98,3704509,3704606,98,4.89e-44,True,-2,3704609
13,13_r,3715630,3710869,r,L01_Anc_m1,13_r,1,100,3704696,3704597,100,4.01e-45,True,0,3704596
14,14_f,3877360,3880550,f,L01_Anc_m1,14_f,1,3190,3866432,3869621,3191,0.0,True,3090,3866532
14,14_r,3880649,3877459,r,L01_Anc_m1,14_r,1,3190,3869720,3866531,3191,0.0,True,3090,3869620
15,15_f,3974918,3979679,f,L01_Anc_m1,15_f,1,4761,3963996,3968754,4761,0.0,True,4661,3964096
15,15_r,3979778,3975017,r,L01_Anc_m1,15_r,1,4761,3968853,3964095,4761,0.0,True,4661,3968753
